Year,Team,Division,TotalSalary,Won,Lost,Errors,Shutouts,DivisionWins,WorldSeriesWins
2001,LAA,W,47735168,75,87,671,1,N,N
2001,ARI,W,85247999,92,70,627,13,Y,Y
2001,ATL,E,91936166,88,74,578,13,Y,N
2001,BAL,E,74279540,63,98,744,6,N,N
2001,BOS,E,109675833,82,79,667,9,N,N
2001,CHA,C,65628667,83,79,725,9,N,N
2001,CHN,C,64515833,88,74,643,6,N,N
2001,CIN,C,48784000,66,96,765,2,N,N
2001,CLE,C,92660001,91,71,746,4,Y,N
2001,COL,W,71541334,73,89,841,8,N,N
2001,DET,C,49356167,66,96,795,2,N,N
2001,MIA,E,35562500,76,86,691,11,N,N
2001,HOU,C,60387667,93,69,707,6,Y,N
2001,KCA,C,35422500,65,97,779,1,N,N
2001,LAD,W,109105953,86,76,685,5,N,N
2001,MIL,C,45099333,68,94,740,8,N,N
2001,MIN,C,24130000,85,77,722,8,N,N
2001,WAS,E,34849500,68,94,745,11,N,N
2001,NYA,E,112287143,95,65,649,9,Y,N
2001,NYN,E,93674428,82,80,654,14,N,N
2001,OAK,W,33810750,102,60,583,9,N,N
2001,PHI,E,41663833,86,76,667,7,N,N
2001,PIT,C,57760833,62,100,794,9,N,N
2001,SDN,W,38882833,79,83,724,6,N,N
2001,SEA,W,74720834,116,46,576,14,Y,N
2001,SFG,W,63280167,90,72,680,8,N,N
2001,SLN,C,78333333,93,69,627,11,N,N
2001,TBA,E,56980000,62,100,781,6,N,N
2001,TEX,W,88633500,73,89,913,3,N,N
2001,TOR,E,76895999,80,82,696,10,N,N
2002,LAA,W,61721667,99,63,595,14,N,Y
2002,ARI,W,102819999,98,64,630,10,Y,N
2002,ATL,E,93470367,101,59,511,15,Y,N
2002,BAL,E,60493487,67,95,719,3,N,N
2002,BOS,E,108366060,93,69,603,17,N,N
2002,CHA,C,57052833,81,81,716,7,N,N
2002,CHN,C,75690833,67,95,687,9,N,N
2002,CIN,C,45050390,78,84,690,8,N,N
2002,CLE,C,78909449,74,88,777,4,N,N
2002,COL,W,56851043,73,89,825,8,N,N
2002,DET,C,55048000,55,106,773,7,N,N
2002,MIA,E,41979917,79,83,706,12,N,N
2002,HOU,C,63448417,84,78,642,11,N,N
2002,KCA,C,47257000,62,100,834,6,N,N
2002,LAD,W,94850953,92,70,598,15,N,N
2002,MIL,C,50287833,56,106,752,4,N,N
2002,MIN,C,40225000,94,67,662,9,Y,N
2002,WAS,E,38670500,83,79,641,3,N,N
2002,NYA,E,125928583,103,58,625,11,Y,N
2002,NYN,E,94633593,75,86,624,10,N,N
2002,OAK,W,40004167,103,59,593,19,Y,N
2002,PHI,E,57954999,80,81,671,9,N,N
2002,PIT,C,42323599,72,89,664,7,N,N
2002,SDN,W,41425000,66,96,737,10,N,N
2002,SEA,W,80282668,93,69,654,12,N,N
2002,SFG,W,78299835,95,66,566,13,N,N
2002,SLN,C,74660875,97,65,595,9,Y,N
2002,TBA,E,34380000,55,106,846,3,N,N
2002,TEX,W,105726122,72,90,824,4,N,N
2002,TOR,E,76864333,78,84,767,6,N,N
2003,LAA,W,79031667,77,85,680,9,N,N
2003,ARI,W,80657000,84,78,621,11,N,N
2003,ATL,E,106243667,101,61,663,7,Y,N
2003,BAL,E,73877500,71,91,767,3,N,N
2003,BOS,E,98696500,95,67,729,6,N,N
2003,CHA,C,51010000,86,76,663,4,N,N
2003,CHN,C,79868333,88,74,619,14,Y,N
2003,CIN,C,59355667,69,93,818,5,N,N
2003,CLE,C,48584834,68,94,682,7,N,N
2003,COL,W,67179667,74,88,821,4,N,N
2003,DET,C,48868000,43,119,847,5,N,N
2003,MIA,E,48750000,91,71,648,11,N,Y
2003,HOU,C,71040000,87,75,622,5,N,N
2003,KCA,C,40518000,83,79,808,10,N,N
2003,LAD,W,105872620,85,77,511,17,N,N
2003,MIL,C,40627000,68,94,810,3,N,N
2003,MIN,C,55505000,90,72,716,8,Y,N
2003,WAS,E,51948500,83,79,640,10,N,N
2003,NYA,E,152749814,101,61,653,12,Y,N
2003,NYN,E,117176429,66,95,704,10,N,N
2003,OAK,W,50260834,96,66,582,14,Y,N
2003,PHI,E,70780000,86,76,648,13,N,N
2003,PIT,C,54812429,75,87,744,10,N,N
2003,SDN,W,45210000,64,98,774,10,N,N
2003,SEA,W,86959167,93,69,602,15,N,N
2003,SFG,W,82852167,100,61,595,10,Y,N
2003,SLN,C,83786666,85,77,748,10,N,N
2003,TBA,E,19630000,63,99,787,7,N,N
2003,TEX,W,103491667,71,91,903,3,N,N
2003,TOR,E,51269000,86,76,748,6,N,N
2004,LAA,W,100534667,92,70,692,11,Y,N
2004,ARI,W,69780750,51,111,794,6,N,N
2004,ATL,E,90182500,96,66,603,13,Y,N
2004,BAL,E,51623333,78,84,760,10,N,N
2004,BOS,E,122711000,98,64,674,12,N,Y
2004,CHA,C,65212500,83,79,782,8,N,N
2004,CHN,C,90560000,89,73,621,6,N,N
2004,CIN,C,46615250,76,86,832,8,N,N
2004,CLE,C,34319300,80,82,784,8,N,N
2004,COL,W,65445167,68,94,883,2,N,N
2004,DET,C,46527000,72,90,788,9,N,N
2004,MIA,E,42143042,83,79,655,14,N,N
2004,HOU,C,75397000,92,70,650,13,N,N
2004,KCA,C,47609000,58,104,813,3,N,N
2004,LAD,W,92902001,93,69,647,6,Y,N
2004,MIL,C,27528500,67,94,679,10,N,N
2004,MIN,C,53585000,92,70,661,9,Y,N
2004,WAS,E,41197500,67,95,696,11,N,N
2004,NYA,E,162193950,101,61,752,5,Y,N
2004,NYN,E,96660970,71,91,658,6,N,N
2004,OAK,W,59425667,91,71,682,8,N,N
2004,PHI,E,93219167,86,76,724,5,N,N
2004,PIT,C,32227929,72,89,680,8,N,N
2004,SDN,W,55384833,87,75,645,8,N,N
2004,SEA,W,81515834,63,99,772,7,N,N
2004,SFG,W,82019166,91,71,695,8,N,N
2004,SLN,C,83228333,105,57,605,12,Y,N
2004,TBA,E,29556667,70,91,757,5,N,N
2004,TEX,W,55050417,89,73,724,9,N,N
2004,TOR,E,50017000,67,94,775,11,N,N
2005,ARI,W,63329166,77,85,783,10,N,N
2005,ATL,E,86457302,90,72,639,12,Y,N
2005,BAL,E,73914333,74,88,724,9,N,N
2005,BOS,E,118255125,95,67,752,8,N,N
2005,CHA,C,75178000,99,63,592,10,Y,Y
2005,CHN,C,87032933,79,83,671,10,N,N
2005,CIN,C,61892583,73,89,820,1,N,N
2005,CLE,C,41502500,93,69,582,10,N,N
2005,COL,W,48155000,67,95,808,4,N,N
2005,DET,C,68737000,71,91,719,2,N,N
2005,MIA,E,60408834,83,79,666,15,N,N
2005,HOU,C,76779000,89,73,563,11,N,N
2005,KCA,C,36881000,56,106,862,4,N,N
2005,LAA,W,87575322,95,67,598,11,Y,N
2005,LAD,W,83039000,71,91,695,9,N,N
2005,MIL,C,39934833,81,81,635,6,N,N
2005,MIN,C,56186000,83,79,604,8,N,N
2005,NYA,E,182306817,95,67,718,14,Y,N
2005,NYN,E,101305821,83,79,599,11,N,N
2005,OAK,W,55425762,88,74,594,12,N,N
2005,PHI,E,95522000,88,74,672,6,N,N
2005,PIT,C,38133000,67,95,706,14,N,N
2005,SDN,W,63290833,82,80,668,8,Y,N
2005,SEA,W,87754334,69,93,712,7,N,N
2005,SFG,W,90199500,75,87,695,8,N,N
2005,SLN,C,91783333,100,62,560,14,Y,N
2005,TBA,E,29679067,67,95,851,4,N,N
2005,TEX,W,55849000,79,83,794,6,N,N
2005,TOR,E,45719500,80,82,653,8,N,N
2005,WAS,E,48581500,81,81,627,9,N,N
2006,ARI,W,59684226,76,86,727,9,N,N
2006,ATL,E,90156876,79,83,736,6,N,N
2006,BAL,E,72585582,70,92,843,9,N,N
2006,BOS,E,113599824,86,76,773,6,N,N
2006,CHA,C,102750667,90,72,743,11,N,N
2006,CHN,C,94424499,66,96,758,7,N,N
2006,CIN,C,57909519,80,82,725,10,N,N
2006,CLE,C,56031500,78,84,698,13,N,N
2006,COL,W,41233000,76,86,749,8,N,N
2006,DET,C,82227866,95,67,618,16,N,N
2006,MIA,E,14998500,78,84,696,6,N,N
2006,HOU,C,92551503,82,80,666,12,N,N
2006,KCA,C,47294000,62,100,896,5,N,N
2006,LAA,W,103472000,89,73,652,12,N,N
2006,LAD,W,98447187,88,74,686,10,N,N
2006,MIL,C,57568333,75,87,763,8,N,N
2006,MIN,C,63396006,96,66,632,6,Y,N
2006,NYA,E,172982352,97,65,708,8,Y,N
2006,NYN,E,101084963,97,65,673,12,Y,N
2006,OAK,W,62243079,93,69,679,11,Y,N
2006,PHI,E,87918333,85,77,747,6,N,N
2006,PIT,C,46717750,67,95,720,10,N,N
2006,SDN,W,69896642,88,74,629,11,Y,N
2006,SEA,W,87959833,78,84,739,6,N,N
2006,SFG,W,89728419,76,85,735,9,N,N
2006,SLN,C,88491371,83,78,721,9,Y,Y
2006,TBA,E,35417967,61,101,782,7,N,N
2006,TEX,W,68228662,80,82,731,8,N,N
2006,TOR,E,71915000,87,75,694,6,N,N
2006,WAS,E,63143000,71,91,803,3,N,N
2007,ARI,W,52067546,90,72,662,12,Y,N
2007,ATL,E,87290833,84,78,665,6,N,N
2007,BAL,E,93554808,69,93,827,9,N,N
2007,BOS,E,129776214,96,66,618,13,Y,Y
2007,CHA,C,108671833,72,90,763,9,N,N
2007,CHN,C,99670332,85,77,650,10,Y,N
2007,CIN,C,64779980,72,90,796,7,N,N
2007,CLE,C,58373267,96,66,658,9,Y,N
2007,COL,W,54424000,90,73,706,7,N,N
2007,DET,C,93880369,88,74,735,9,N,N
2007,MIA,E,30507000,71,91,793,4,N,N
2007,HOU,C,87759000,73,89,761,6,N,N
2007,KCA,C,66736500,69,93,716,6,N,N
2007,LAA,W,109251333,94,68,674,9,Y,N
2007,LAD,W,108067024,82,80,677,6,N,N
2007,MIL,C,70986500,83,79,708,6,N,N
2007,MIN,C,71439500,79,83,663,8,N,N
2007,NYA,E,166930520,94,68,724,5,N,N
2007,NYN,E,115231663,88,74,687,10,N,N
2007,OAK,W,79366940,76,86,689,9,N,N
2007,PHI,E,88528213,89,73,767,5,Y,N
2007,PIT,C,38537833,68,94,793,5,N,N
2007,SDN,W,58110567,89,74,611,20,N,N
2007,SEA,W,106460833,88,74,754,12,N,N
2007,SFG,W,89569056,71,91,677,10,N,N
2007,SLN,C,89761823,78,84,741,8,N,N
2007,TBA,E,24123500,66,96,879,2,N,N
2007,TEX,W,68318675,75,87,755,6,N,N
2007,TOR,E,81942800,83,79,644,9,N,N
2007,WAS,E,37347500,73,89,736,6,N,N
2008,ARI,W,65386212,82,80,635,9,N,N
2008,ATL,E,102365683,72,90,714,7,N,N
2008,BAL,E,67196246,68,93,810,4,N,N
2008,BOS,E,120390035,95,67,645,16,N,N
2008,CHA,C,120794332,89,74,658,10,Y,N
2008,CHN,C,118345833,97,64,624,8,Y,N
2008,CIN,C,69542695,74,88,729,6,N,N
2008,CLE,C,78576766,81,81,711,13,N,N
2008,COL,W,68655500,74,88,766,8,N,N
2008,DET,C,137685196,74,88,786,2,N,N
2008,MIA,E,19811500,84,77,707,8,N,N
2008,HOU,C,88930414,86,75,691,13,N,N
2008,KCA,C,58245500,75,87,720,8,N,N
2008,LAA,W,118825333,100,62,644,10,Y,N
2008,LAD,W,118164036,84,78,591,11,Y,N
2008,MIL,C,80533499,90,72,623,10,N,N
2008,MIN,C,56932766,88,75,675,10,N,N
2008,NYA,E,181081577,89,73,685,11,N,N
2008,NYN,E,137793376,89,73,662,12,N,N
2008,OAK,W,47967126,75,86,640,7,N,N
2008,PHI,E,88269880,92,70,625,11,Y,Y
2008,PIT,C,48689783,67,95,822,7,N,N
2008,SDN,W,73677616,63,99,714,6,N,N
2008,SEA,W,117666482,61,101,754,4,N,N
2008,SFG,W,75644500,72,90,701,12,N,N
2008,SLN,C,97811949,86,76,677,7,N,N
2008,TBA,E,43820597,97,65,618,12,Y,N
2008,TEX,W,67315496,79,83,860,8,N,N
2008,TOR,E,97793900,86,76,561,13,N,N
2008,WAS,E,54961000,59,102,742,8,N,N
2009,ARI,W,73086666,70,92,711,12,N,N
2009,ATL,E,96726166,86,76,581,10,N,N
2009,BAL,E,67101666,64,98,817,3,N,N
2009,BOS,E,108745999,95,67,695,11,N,N
2009,CHA,C,95628500,79,83,663,11,N,N
2009,CHN,C,134809000,83,78,616,8,N,N
2009,CIN,C,63433500,78,84,677,12,N,N
2009,CLE,C,80743866,65,97,806,6,N,N
2009,COL,W,75201000,92,70,675,7,N,N
2009,DET,C,115085145,86,77,690,9,N,N
2009,MIA,E,36834000,87,75,690,5,N,N
2009,HOU,C,102996414,74,88,722,10,N,N
2009,KCA,C,70519333,65,97,765,9,N,N
2009,LAA,W,113709000,97,65,715,13,Y,N
2009,LAD,W,97314592,95,67,558,9,Y,N
2009,MIL,C,79768502,80,82,770,8,N,N
2009,MIN,C,64869266,87,76,726,7,Y,N
2009,NYA,E,168449189,103,59,687,8,Y,Y
2009,NYN,E,149373987,70,92,705,12,N,N
2009,OAK,W,61910000,75,87,685,10,N,N
2009,PHI,E,98004046,93,69,673,9,Y,N
2009,PIT,C,48693000,62,99,723,7,N,N
2009,SDN,W,43734200,75,87,704,9,N,N
2009,SEA,W,98904166,85,77,625,10,N,N
2009,SFG,W,80126450,88,74,571,18,N,N
2009,SLN,C,84815909,91,71,586,11,Y,N
2009,TBA,E,63313034,84,78,686,5,N,N
2009,TEX,W,67623798,87,75,698,11,N,N
2009,TOR,E,80538300,75,87,720,10,N,N
2009,WAS,E,60328000,59,103,791,3,N,N
2010,ARI,W,60718166,65,97,765,3,N,N
2010,ATL,E,84423666,91,71,569,9,N,N
2010,BAL,E,81612500,66,96,733,7,N,N
2010,BOS,E,149447333,89,73,679,9,N,N
2010,CHA,C,105530000,88,74,658,11,N,N
2010,CHN,C,146609000,75,87,668,14,N,N
2010,CIN,C,60136542,91,71,648,9,Y,N
2010,CLE,C,60759366,69,93,684,4,N,N
2010,COL,W,84227000,83,79,663,12,N,N
2010,DET,C,122864928,81,81,690,5,N,N
2010,MIA,E,57029719,80,82,652,17,N,N
2010,HOU,C,92355500,76,86,654,11,N,N
2010,KCA,C,69645210,67,95,794,3,N,N
2010,LAA,W,104963866,80,82,651,9,N,N
2010,LAD,W,89608016,80,82,643,16,N,N
2010,MIL,C,80658278,77,85,733,7,N,N
2010,MIN,C,97559166,94,68,638,13,Y,N
2010,NYA,E,173333389,95,67,651,8,N,N
2010,NYN,E,134020942,79,83,597,19,N,N
2010,OAK,W,46244900,81,81,566,17,N,N
2010,PHI,E,122928379,97,65,594,21,Y,N
2010,PIT,C,34943000,57,105,784,6,N,N
2010,SDN,W,38507633,90,72,549,20,N,N
2010,SEA,W,86510000,61,101,628,10,N,N
2010,SFG,W,94058000,92,70,546,17,Y,Y
2010,SLN,C,88817251,86,76,577,16,N,N
2010,TBA,E,71923471,96,66,611,12,Y,N
2010,TEX,W,52000544,90,72,636,8,Y,N
2010,TOR,E,62234000,85,77,676,11,N,N
2010,WAS,E,61400000,69,93,658,5,N,N
2011,ARI,W,53639833,94,68,609,12,Y,N
2011,ATL,E,86583692,89,73,572,16,N,N
2011,BAL,E,79454038,69,93,786,7,N,N
2011,BOS,E,149262475,90,72,680,13,N,N
2011,CHA,C,127789000,79,83,665,14,N,N
2011,CHN,C,125047329,71,91,690,5,N,N
2011,CIN,C,68280468,79,83,678,5,N,N
2011,CLE,C,47165566,80,82,683,4,N,N
2011,COL,W,88148071,73,89,713,7,N,N
2011,DET,C,105700231,95,67,647,14,Y,N
2011,MIA,E,56944000,72,90,640,11,N,N
2011,HOU,C,70694000,56,106,719,6,N,N
2011,KCA,C,34366000,71,91,716,6,N,N
2011,LAA,W,138543166,86,76,581,11,N,N
2011,LAD,W,94688999,82,79,563,17,N,N
2011,MIL,C,81997333,96,66,582,13,Y,N
2011,MIN,C,112037000,63,99,724,8,N,N
2011,NYA,E,170689028,97,65,605,8,Y,N
2011,NYN,E,118395309,77,85,674,9,N,N
2011,OAK,W,60346500,74,88,597,12,N,N
2011,PHI,E,152976379,102,60,495,21,Y,N
2011,PIT,C,45047000,72,90,650,11,N,N
2011,SDN,W,49898373,71,91,551,10,N,N
2011,SEA,W,86524600,67,95,621,10,N,N
2011,SFG,W,110865000,86,76,522,12,N,N
2011,SLN,C,99686072,90,72,608,9,N,Y
2011,TBA,E,41053571,91,71,577,13,N,N
2011,TEX,W,78817454,96,66,607,19,Y,N
2011,TOR,E,62567800,81,81,700,10,N,N
2011,WAS,E,63856928,80,81,577,10,N,N
2012,ARI,W,70098833,81,81,626,9,N,N
2012,ATL,E,75874942,94,68,549,16,N,N
2012,BAL,E,74012333,93,69,642,10,N,N
2012,BOS,E,158129617,69,93,754,4,N,N
2012,CHA,C,96439500,85,77,646,11,N,N
2012,CHN,C,88677033,61,101,708,9,N,N
2012,CIN,C,74036950,97,65,540,12,Y,N
2012,CLE,C,73880300,68,94,766,6,N,N
2012,COL,W,78069571,64,98,824,7,N,N
2012,DET,C,138800000,88,74,596,8,Y,N
2012,HOU,C,60651000,55,107,721,11,N,N
2012,KCA,C,57406225,72,90,693,12,N,N
2012,LAA,W,153990166,89,73,640,16,N,N
2012,LAD,W,114014717,86,76,538,10,N,N
2012,MIA,E,118078000,69,93,655,7,N,N
2012,MIL,C,91903944,83,79,682,9,N,N
2012,MIN,C,92535000,66,96,762,6,N,N
2012,NYA,E,167000289,95,67,617,9,Y,N
2012,NYN,E,92834433,74,88,651,13,N,N
2012,OAK,W,49372500,94,68,569,13,Y,N
2012,PHI,E,154538938,81,81,618,11,N,N
2012,PIT,C,62950999,79,83,615,10,N,N
2012,SDN,W,54578033,76,86,640,11,N,N
2012,SEA,W,80478100,75,87,608,11,N,N
2012,SFG,W,101771350,94,68,593,14,Y,Y
2012,SLN,C,101350862,88,74,603,10,N,N
2012,TBA,E,64173500,90,72,518,15,N,N
2012,TEX,W,97110974,93,69,639,10,N,N
2012,TOR,E,92489200,73,89,745,11,N,N
2012,WAS,E,70378428,98,64,543,9,Y,N
2013,ARI,W,75105500,81,81,651,7,N,N
2013,ATL,E,73600692,96,66,512,12,Y,N
2013,BAL,E,81637464,85,77,678,6,N,N
2013,BOS,E,156522142,97,65,613,8,Y,Y
2013,CHA,C,117040777,63,99,643,5,N,N
2013,CHN,C,103456533,66,96,643,6,N,N
2013,CIN,C,90025772,90,72,554,17,N,N
2013,CLE,C,69274900,92,70,611,16,N,N
2013,COL,W,64278071,74,88,708,5,N,N
2013,DET,C,151420000,93,69,587,12,Y,N
2013,HOU,W,18825200,51,111,766,5,N,N
2013,KCA,C,74821300,86,76,555,12,N,N
2013,LAA,W,127896250,78,84,685,12,N,N
2013,LAD,W,178097552,92,70,524,22,Y,N
2013,MIA,E,35857000,62,100,602,13,N,N
2013,MIL,C,70893444,74,88,615,15,N,N
2013,MIN,C,69780000,66,96,733,7,N,N
2013,NYA,E,182832190,85,77,633,10,N,N
2013,NYN,E,68347948,74,88,618,10,N,N
2013,OAK,W,39199500,96,66,574,13,Y,N
2013,PHI,E,144895714,73,89,689,3,N,N
2013,PIT,C,77554000,94,68,533,16,N,N
2013,SDN,W,74755200,76,86,643,6,N,N
2013,SEA,W,60296043,71,91,702,14,N,N
2013,SFG,W,112092501,76,86,643,13,N,N
2013,SLN,C,93552086,97,65,555,15,Y,N
2013,TBA,E,51903072,92,71,608,17,N,N
2013,TEX,W,110917100,91,72,589,10,N,N
2013,TOR,E,113044500,74,88,685,11,N,N
2013,WAS,E,111356769,86,76,576,13,N,N
2014,ARI,W,102350333,64,98,683,4,N,N
2014,ATL,E,83555673,79,83,547,13,N,N
2014,BAL,E,96638455,96,66,557,13,Y,N
2014,BOS,E,143862395,71,91,653,7,N,N
2014,CHA,C,88550982,73,89,687,6,N,N
2014,CHN,C,82683714,73,89,636,11,N,N
2014,CIN,C,112878771,76,86,576,13,N,N
2014,CLE,C,71483300,85,77,581,15,N,N
2014,COL,W,95079071,66,96,770,4,N,N
2014,DET,C,172571526,90,72,648,8,Y,N
2014,HOU,W,44985800,70,92,657,3,N,N
2014,KCA,C,84771000,89,73,565,14,N,N
2014,LAA,W,128046500,98,64,590,13,Y,N
2014,LAD,W,208521260,94,68,554,16,Y,N
2014,MIA,E,52836900,77,85,613,16,N,N
2014,MIL,C,79014914,82,80,594,9,N,N
2014,MIN,C,80937500,70,92,728,7,N,N
2014,NYA,E,205676092,84,78,605,10,N,N
2014,NYN,E,78718636,79,83,568,11,N,N
2014,OAK,W,65815900,88,74,524,13,N,N
2014,PHI,E,152521056,73,89,619,12,N,N
2014,PIT,C,77340499,88,74,562,7,N,N
2014,SDN,W,92872194,77,85,523,10,N,N
2014,SEA,W,82536142,87,75,512,9,N,N
2014,SFG,W,118714109,88,74,564,12,N,Y
2014,SLN,C,90653693,90,72,564,23,Y,N
2014,TBA,E,82232623,77,85,579,22,N,N
2014,TEX,W,102585846,67,95,711,17,N,N
2014,TOR,E,111422600,83,79,642,16,N,N
2014,WAS,E,129700068,96,66,495,19,Y,N
2015,ARI,W,63812833,79,83,659,12,N,N
2015,ATL,E,81247648,67,95,698,10,N,N
2015,BAL,E,104897208,81,81,646,10,N,N
2015,BOS,E,146494748,78,84,694,10,N,N
2015,CHA,C,99302867,76,86,643,9,N,N
2015,CHN,C,116265880,97,65,546,21,N,N
2015,CIN,C,116732284,64,98,700,8,N,N
2015,CLE,C,85985667,81,80,584,10,N,N
2015,COL,W,98261171,68,94,799,4,N,N
2015,DET,C,172789750,74,87,746,12,N,N
2015,HOU,W,63564200,86,76,572,13,N,N
2015,KCA,C,107397975,95,67,601,8,Y,Y
2015,LAA,W,139449583,85,77,630,12,N,N
2015,LAD,W,183985260,92,70,553,21,Y,N
2015,MIA,E,84816071,71,91,638,12,N,N
2015,MIL,C,86473611,68,94,682,7,N,N
2015,MIN,C,103095000,83,79,653,12,N,N
2015,NYA,E,192687142,87,75,652,4,N,N
2015,NYN,E,92130203,90,72,557,14,Y,N
2015,OAK,W,69349166,68,94,664,15,N,N
2015,PHI,E,107540000,63,99,749,7,N,N
2015,PIT,C,84706665,98,64,532,13,N,N
2015,SDN,W,121027794,74,88,655,6,N,N
2015,SEA,W,116214342,76,86,677,12,N,N
2015,SFG,W,142395943,84,78,597,18,N,N
2015,SLN,C,103010290,100,62,478,15,Y,N
2015,TBA,E,73691251,80,82,604,12,N,N
2015,TEX,W,113841040,88,74,680,9,Y,N
2015,TOR,E,91895700,93,69,609,10,Y,N
2015,WAS,E,165819309,83,79,577,13,N,N
2016,ARI,W,91454563,69,93,821,7,N,N
2016,ATL,E,61252791,68,93,725,9,N,N
2016,BAL,E,139179070,89,73,671,9,N,N
2016,BOS,E,160606261,93,69,640,5,Y,N
2016,CHA,C,109173667,78,84,659,10,N,N
2016,CHN,C,173555456,103,58,511,15,Y,Y
2016,CIN,C,94305559,68,94,786,8,N,N
2016,CLE,C,60928567,94,67,617,11,Y,N
2016,COL,W,94645071,75,87,779,9,N,N
2016,DET,C,190855981,86,75,672,8,N,N
2016,HOU,W,92401200,84,78,663,8,N,N
2016,KCA,C,138095458,81,81,674,7,N,N
2016,LAA,W,130351333,74,88,676,12,N,N
2016,LAD,W,200363380,91,71,598,15,Y,N
2016,MIA,E,70886671,79,82,646,12,N,N
2016,MIL,C,57073313,73,89,650,7,N,N
2016,MIN,C,96283200,59,103,814,3,N,N
2016,NYA,E,205867135,84,78,660,10,N,N
2016,NYN,E,145426379,87,75,574,13,N,N
2016,OAK,W,75876234,69,93,718,7,N,N
2016,PHI,E,74462000,71,91,739,12,N,N
2016,PIT,C,101771166,78,83,679,5,N,N
2016,SDN,W,93853314,68,94,708,9,N,N
2016,SEA,W,123457243,86,76,647,8,N,N
2016,SFG,W,148863777,87,75,593,11,N,N
2016,SLN,C,123128499,86,76,656,10,N,N
2016,TBA,E,71282743,68,94,665,8,N,N
2016,TEX,W,129955390,95,67,700,6,Y,N
2016,TOR,E,131179900,89,73,613,10,N,N
2016,WAS,E,140936678,95,67,570,12,Y,N
2017,ARI,W,78042999,93,69,586,11,N,N
2017,ATL,E,137339527,72,90,756,6,N,N
2017,BAL,E,144596949,75,87,795,10,N,N
2017,BOS,E,173704598,93,69,610,11,Y,N
2017,CHA,C,109301167,67,95,755,3,N,N
2017,CHN,C,168263502,92,70,636,8,Y,N
2017,CIN,C,81840785,68,94,821,8,N,N
2017,CLE,C,115999500,102,60,529,19,Y,N
2017,COL,W,101709904,87,75,721,9,N,N
2017,DET,C,180250600,64,98,846,4,N,N
2017,HOU,W,127443900,101,61,662,9,Y,Y
2017,KCA,C,134425249,80,82,737,6,N,N
2017,LAA,W,123549166,80,82,672,10,N,N
2017,LAD,W,189394811,104,58,543,16,Y,N
2017,MIA,E,106784671,77,85,772,7,N,N
2017,MIL,C,49143998,86,76,642,12,N,N
2017,MIN,C,94287500,85,77,732,11,N,N
2017,NYA,E,171746342,91,71,599,7,N,N
2017,NYN,E,174491596,70,92,799,5,N,N
2017,OAK,W,69636667,75,87,743,6,N,N
2017,PHI,E,86513378,66,96,729,7,N,N
2017,PIT,C,96133666,75,87,676,12,N,N
2017,SDN,W,32128066,71,91,742,12,N,N
2017,SEA,W,142207720,78,84,713,9,N,N
2017,SFG,W,156531277,64,98,726,5,N,N
2017,SLN,C,131669599,83,79,646,12,N,N
2017,TBA,E,68296366,80,82,638,9,N,N
2017,TEX,W,172848063,78,84,742,6,N,N
2017,TOR,E,123344438,76,86,720,6,N,N
2017,WAS,E,163375489,97,65,623,5,Y,N
